associatedReferences,verbatimTaxonRank,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.35,single observation,mm,NA,NA,NA,NA,LACM ENT 602413,1968-09-08,M,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252713,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.65,single observation,mm,NA,NA,NA,NA,LACM ENT 602416,1965-05-25,M,adult,Pasadena,NA,NA,NA,NA,NA,United States,California,Los Angeles,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.5,single observation,mm,NA,NA,NA,NA,LACM ENT 602417,1968-09-08,F,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252703,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.81,single observation,mm,NA,NA,NA,NA,LACM ENT 602421,1957-04-18,M,adult,Santa Monica Mountains,NA,NA,NA,NA,NA,United States,California,Los Angeles,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.88,single observation,mm,NA,NA,NA,NA,LACM ENT 602422,1968-09-08,M,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.94,single observation,mm,NA,NA,NA,NA,LACM ENT 602423,1968-07-02,F,adult,≈14 mi. E. San Blas,NA,NA,NA,NA,NA,Mexico,Nayarit,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,6.02,single observation,mm,NA,NA,NA,NA,LACM ENT 602425,1968-07-02,F,adult,≈14 mi. E. San Blas,NA,NA,NA,NA,NA,Mexico,Nayarit,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252717,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.31,single observation,mm,NA,NA,NA,NA,LACM ENT 602426,1975-06-01,M,adult,"Arroyo Seco, San Gabriel Mts.",NA,NA,NA,NA,NA,United States,California,Los Angeles,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa ruficornis,gbif:1342406,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,8.35,single observation,mm,NA,NA,NA,NA,LACM ENT 602427,05/00/1962,F,adult,"Coimbatore, 420 m",NA,NA,NA,NA,NA,India,Tamil Nadu,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252711,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.92,single observation,mm,NA,NA,NA,NA,LACM ENT 602429,1954-04-26,M,adult,Columbia,NA,NA,NA,NA,NA,United States,California,Tuolumne,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252712,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.81,single observation,mm,NA,NA,NA,NA,LACM ENT 602431,1978-05-13,M,adult,Big Rock Creek,NA,NA,NA,NA,NA,United States,California,Los Angeles,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tenuiscapa,gbif:1342411,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,9.62,single observation,mm,NA,NA,NA,NA,LACM ENT 602432,01/00/1963,F,adult,Chittagong Hills,NA,NA,NA,NA,NA,Bangladesh,Chittagong,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252702,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.48,single observation,mm,NA,NA,NA,NA,LACM ENT 602434,1930-05-11,M,adult,"Monrovia, Cañon ",NA,NA,NA,NA,NA,United States,California,Los Angeles,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.51,single observation,mm,NA,NA,NA,NA,LACM ENT 602435,1968-09-08,F,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252706,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.91,single observation,mm,NA,NA,NA,NA,LACM ENT 602436,2000-07-10,M,adult,Riverside,NA,NA,NA,NA,NA,United States,California,Riverside,NA
